,accuracy,precision,recall,auc,f1-score,description
DecisionTree,0.9054054054054054,0.9097222222222222,0.8972602739726028,0.9645890410958903,0.9034482758620691,DecisionTree
RandomForest,0.9256756756756757,0.9696969696969697,0.8767123287671232,0.9754794520547946,0.920863309352518,RandomForest
LogisticRegression,0.9256756756756757,0.9696969696969697,0.8767123287671232,0.9754794520547946,0.920863309352518,LogisticRegression
SVM,0.9256756756756757,0.9696969696969697,0.8767123287671232,0.9754794520547946,0.920863309352518,SVM
MLP,0.9256756756756757,0.9696969696969697,0.8767123287671232,0.9754794520547946,0.920863309352518,MLP
xgboost,0.9256756756756757,0.9696969696969697,0.8767123287671232,0.9754794520547946,0.920863309352518,xgboost
NearestNeighbors,0.9256756756756757,0.9696969696969697,0.8767123287671232,0.9754794520547946,0.920863309352518,NearestNeighbors
